ts,ecg
1365004402.82438,16428.73438
1365004402.82445,16295.41992
1365004402.84044,15942.90723
1365004402.8405,15556.30273
1365004402.85534,15324.18164
1365004402.85541,15203.32617
1365004402.87038,15188.80273
1365004402.87045,15164.00586
1365004402.87935,15144.97461
1365004402.89434,15156.70117
1365004402.8944,15133.10156
1365004402.90933,15141.35938
1365004402.90939,15128.02051
1365004402.92433,15111.43262
1365004402.9244,15125.56543
1365004402.93435,15097.61719
1365004402.95036,15091.77832
1365004402.95043,15094.56348
1365004402.96934,15061.66895
1365004402.9694,15065.82129
1365004402.97935,15041.12305
1365004402.97943,15017.29199
1365004402.99335,15015.54492
1365004402.99374,14971.74219
1365004403.00333,14966.94141
1365004403.01937,14948.39941
1365004403.01944,14936.94141
1365004403.03335,14956.86426
1365004403.03355,14945.28418
1365004403.04737,14972.02246
1365004403.05736,15009.73047
1365004403.05742,15034.14844
1365004403.06432,15080.44336
1365004403.07429,15085.90332
1365004403.08941,15117.73535
1365004403.0895,15137.73145
1365004403.10341,15130.65918
1365004403.1035,15153.96484
1365004403.11742,15151.88867
1365004403.12833,15151.14355
1365004403.1284,15170.60156
1365004403.1434,15149.82422
1365004403.14348,15165.71582
1365004403.15937,15160.76855
1365004403.15944,15150.89941
1365004403.17431,15162.08789
1365004403.17437,15141.11523
1365004403.18236,15157.73926
1365004403.19737,15158.08203
1365004403.19743,15143.76562
1365004403.21234,15169.58789
1365004403.21241,15153.59863
1365004403.22836,15159.14453
1365004403.22842,15164.53125
1365004403.24334,15153.35449
1365004403.25335,15167.96387
1365004403.25342,15154.74707
1365004403.26837,15152.69531
1365004403.26844,15173.14258
1365004403.28234,15154.27051
1365004403.2824,15170.62695
1365004403.29736,15168.12207
1365004403.30531,15156.17578
1365004403.30537,15176.24512
1365004403.31336,15158.11816
1365004403.32336,15167.20605
1365004403.33831,15171.90918
1365004403.33838,15152.03516
1365004403.35235,15172.4707
1365004403.35242,15159.07129
1365004403.36533,15157.41016
1365004403.37536,15173.9248
1365004403.37543,15160.8418
1365004403.38335,15172.2998
1365004403.39335,15162.36914
1365004403.40836,15159.69434
1365004403.40844,15177.66211
1365004403.42334,15149.37207
1365004403.42341,15151.71777
1365004403.42933,15136.69336
1365004403.44535,15126.78711
1365004403.44542,15162.08789
1365004403.46235,15160.96484
1365004403.46241,15169.90625
1365004403.47735,15178.29785
1365004403.47743,15156.09082
1365004403.49137,15178.96973
1365004403.49144,15160.87891
1365004403.50229,15164.17676
1365004403.51741,15174.22949
1365004403.51749,15155.96875
1365004403.53232,15178.15137
1365004403.53238,15164.7998
1365004403.54637,15161.99023
1365004403.54644,15153.23242
1365004403.55334,15062.02246
1365004403.56034,15010.54883
1365004403.57235,15117.27148
1365004403.59414,15711.88574
1365004403.5942,16368.6123
1365004403.60034,16331.74805
1365004403.60041,16022.0
1365004403.61643,15642.58984
1365004403.61651,15343.13867
1365004403.62536,15223.21191
1365004403.64238,15168.41602
1365004403.64248,15152.31641
1365004403.6624,15157.22656
1365004403.66247,15125.35742
1365004403.67248,15140.3457
1365004403.67269,15132.36914
1365004403.67833,15121.63184
1365004403.69538,15137.51172
1365004403.69545,15104.95898
1365004403.70334,15110.80957
1365004403.71236,15096.98242
1365004403.72741,15078.62305
1365004403.72748,15087.01465
1365004403.74039,15058.0166
1365004403.74049,15049.70996
1365004403.75038,15032.95117
1365004403.76437,14997.17383
1365004403.76445,15001.83984
1365004403.77935,14968.0166
1365004403.77942,14956.26562
1365004403.79442,14958.64746
1365004403.7945,14933.8877
1365004403.80438,14960.16211
1365004403.82046,14964.0957
1365004403.82052,14988.48828
1365004403.83535,15039.14453
1365004403.83544,15051.51758
1365004403.84936,15096.87207
1365004403.84943,15113.09375
1365004403.86533,15121.43652
1365004403.8654,15147.89453
1365004403.87735,15139.30762
1365004403.8954,15155.74902
1365004403.89547,15168.96484
1365004403.91036,15151.90039
1365004403.91044,15171.99414
1365004403.92037,15163.23633
1365004403.92043,15159.74316
1365004403.9274,15172.6543
1365004403.94435,15153.75781
1365004403.94442,15171.5791
1365004403.96042,15159.18066
